"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.849655292E0,7.823621482E-2,-5.318855494E-2,1.078452617E-1,1.434591515E-1
2.859596292E0,7.271035761E-2,-5.581320450E-2,1.042902768E-1,1.388465762E-1
2.869537292E0,5.605414882E-2,-5.856238678E-2,1.044956073E-1,1.322533655E-1
2.879478292E0,3.638554364E-2,-6.404091418E-2,1.139097810E-1,1.356487548E-1
2.889419292E0,2.264123783E-2,-7.120668143E-2,1.285089552E-1,1.486525099E-1
2.899360292E0,5.276480224E-4,-8.540163934E-2,1.447713822E-1,1.680847153E-1
2.909300292E0,-2.063191496E-4,-1.024860814E-1,1.469812691E-1,1.791840755E-1
2.919241292E0,2.434399910E-2,-1.008197889E-1,1.450740695E-1,1.783360473E-1
2.929182292E0,3.722464666E-2,-1.007393673E-1,1.414934546E-1,1.776358413E-1
2.939123292E0,3.883137554E-2,-1.022265404E-1,1.451307535E-1,1.817170243E-1
2.949064292E0,3.154230118E-2,-1.057248712E-1,1.400513053E-1,1.782891844E-1
