"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.292140500E0,8.828191681E0,-2.966531067E0,3.673510895E0,1.001159114E1
2.302082500E0,8.771759033E0,-3.035836945E0,3.579057312E0,9.948352312E0
2.312023500E0,8.645870819E0,-3.186723175E0,3.586691437E0,9.887903836E0
2.321965500E0,8.541088715E0,-3.227139130E0,3.665876770E0,9.838865579E0
2.331906500E0,8.479566650E0,-3.317850494E0,3.805236969E0,9.868688407E0
2.341848500E0,8.521928558E0,-3.342249756E0,4.130959625E0,1.004284458E1
2.351789500E0,8.655750275E0,-3.167712708E0,4.386627960E0,1.020778730E1
2.361730500E0,8.657845917E0,-3.163671112E0,4.409230957E0,1.021804426E1
2.371672500E0,8.550070038E0,-3.222947845E0,4.306394806E0,1.010129332E1
2.381613500E0,8.365653534E0,-3.239862671E0,4.175866241E0,9.895389231E0
2.391555500E0,8.275091858E0,-3.237018585E0,4.067491608E0,9.772406180E0
2.401496500E0,8.248447266E0,-3.171155548E0,3.978576508E0,9.691345667E0
2.411438500E0,8.261919250E0,-3.012036438E0,3.963308258E0,9.645697774E0
2.421379500E0,8.198900299E0,-2.989583130E0,3.961212616E0,9.583881197E0
2.431321500E0,8.120313721E0,-3.099454651E0,3.920796661E0,9.535132957E0
2.441262500E0,8.115823059E0,-3.088826752E0,3.898043976E0,9.518517819E0
2.451204500E0,7.993527374E0,-3.168012085E0,3.944746857E0,9.460116713E0
2.461145500E0,7.908204803E0,-3.435356140E0,3.980971527E0,9.496815746E0
2.471086500E0,7.954608307E0,-3.567381592E0,4.184248810E0,9.670053921E0
2.481028500E0,7.941435699E0,-3.642675018E0,4.369862823E0,9.768888542E0
2.490969500E0,7.970774689E0,-3.677702179E0,4.543202362E0,9.884302209E0
2.500911500E0,8.008795624E0,-3.585493927E0,4.488565979E0,9.856155366E0
2.510852500E0,8.117619324E0,-3.438349915E0,4.282145233E0,9.800753105E0
2.520794500E0,8.307723999E0,-2.984793091E0,4.723427582E0,1.001189472E1
2.530735500E0,8.367300110E0,-3.058889008E0,4.873565369E0,1.015480933E1
2.540677500E0,8.276439056E0,-3.124752045E0,4.993316345E0,1.015857898E1
2.550618500E0,8.583300934E0,-3.284769287E0,4.987628174E0,1.045653858E1
2.560560500E0,8.738228760E0,-3.424578552E0,4.875361633E0,1.057608298E1
2.570501000E0,8.459658051E0,-3.246149597E0,4.572840729E0,1.014958984E1
2.580442000E0,8.134234772E0,-3.301235046E0,4.181704102E0,9.723712118E0
2.590384000E0,7.999814301E0,-3.360062714E0,3.918551331E0,9.520614204E0
2.600325000E0,7.989336090E0,-3.311413879E0,3.890858917E0,9.483339926E0
2.610267000E0,8.060138855E0,-3.206631775E0,4.097728729E0,9.593732665E0
2.620208000E0,8.143665161E0,-3.140169983E0,4.412224731E0,9.779963030E0
2.630150000E0,8.182584229E0,-3.034789124E0,4.423451385E0,9.784250193E0
2.640091000E0,8.217461700E0,-2.969375153E0,4.295168152E0,9.736135529E0
2.650033000E0,8.153394928E0,-2.984044647E0,4.218228149E0,9.652762300E0
2.659974000E0,8.124954071E0,-2.968327332E0,4.155358887E0,9.596502138E0
2.669915000E0,8.027656403E0,-2.950065308E0,4.043242035E0,9.460124671E0
2.679857000E0,7.991431732E0,-2.930007019E0,3.966751099E0,9.390582332E0
2.689798000E0,8.031248932E0,-2.957998810E0,4.002077637E0,9.448139593E0
2.699740000E0,8.093369751E0,-3.022963715E0,4.028123474E0,9.532403803E0
2.709681000E0,8.046517181E0,-3.048710175E0,3.985312500E0,9.482815415E0
2.719623000E0,8.074958038E0,-3.097808075E0,3.919898529E0,9.495628819E0
2.729564000E0,8.108787689E0,-3.151246948E0,3.901486816E0,9.534379607E0
2.739506000E0,8.140072632E0,-3.160976715E0,3.927233276E0,9.574743728E0
2.749447000E0,8.234226837E0,-3.158731384E0,3.956422577E0,9.666093067E0
2.759389000E0,8.397986298E0,-3.173400879E0,4.022734680E0,9.837633928E0
2.769330000E0,8.566086731E0,-3.122806091E0,4.221521301E0,1.004743758E1
2.779271000E0,8.637787628E0,-3.022814026E0,4.310286713E0,1.011569826E1
2.789213000E0,8.683742065E0,-2.996319122E0,4.243974609E0,1.011912175E1
2.799154000E0,8.729995880E0,-2.997516632E0,4.121978302E0,1.010883965E1
2.809096000E0,8.829838257E0,-3.017574921E0,4.046086121E0,1.017067426E1
2.819037000E0,8.858728180E0,-3.029849396E0,4.039050751E0,1.019661627E1
2.828979000E0,8.790769501E0,-3.107687531E0,3.966152344E0,1.013240912E1
2.838920000E0,8.718020782E0,-3.204536133E0,3.867657166E0,1.006139703E1
2.848862000E0,8.647068329E0,-3.218756561E0,3.826941833E0,9.988877228E0
2.858803000E0,8.629854126E0,-3.226390686E0,3.810625763E0,9.970197982E0
2.868745000E0,8.730145569E0,-3.261268158E0,3.870800629E0,1.009130364E1
2.878686000E0,8.841813354E0,-3.331172791E0,4.113146667E0,1.030496730E1
2.888627000E0,9.037157135E0,-3.267555084E0,4.424798584E0,1.057950697E1
2.898569000E0,9.084608459E0,-3.196602631E0,4.438719635E0,1.060427325E1
2.908510000E0,9.062604218E0,-3.245401154E0,4.310137024E0,1.054707092E1
2.918452000E0,8.887468414E0,-3.272644501E0,4.087250519E0,1.031517880E1
2.928393000E0,8.726103973E0,-3.298091583E0,3.793561249E0,1.007042231E1
2.938335000E0,8.613088989E0,-3.282823334E0,3.569177856E0,9.884394850E0
